"","T0_thy","Ttotss_thy","Lss_thy","Dss_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","param.to.change","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Lss_sim","Dss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","error_simulation","param","fold.change.param","drug"
"57",0.5,0.25,7.33333,6887.92,5.36802e-05,5.36831e-05,5.36689e-05,5.36752e-05,5.36789e-05,5.36831e-05,0.03456,0.366667,0.5,7.33333,0.250033,7.33333,6881.93,5.37269e-05,5.34383e-05,357,1.9594e-05,-9.08435e-05,0,0,"koff_DT",0.00999999999999999,"Pembro"
"58",0.5,0.25,7.33333,6887.92,5.64469e-05,5.64501e-05,5.64344e-05,5.64414e-05,5.64454e-05,5.64501e-05,0.3456,0.366667,0.5,7.33333,0.250035,7.33333,6881.93,5.6496e-05,5.61925e-05,357,2.06039e-05,-9.08693e-05,0,0,"koff_DT",0.0999999999999998,"Pembro"
"59",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,3.456,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.08763e-05,0,0,"koff_DT",0.999999999999999,"Pembro"
"60",0.5,0.25,7.33333,6887.92,0.000360689,0.000360819,0.000360178,0.000360464,0.000360629,0.000360819,34.56,0.366667,0.5,7.33333,0.250221,7.33333,6881.93,0.000361001,0.000359063,357,0.000131656,-9.08198e-05,0,0,"koff_DT",9.99999999999997,"Pembro"
"61",0.5,0.25,7.33333,6887.92,0.00311806,0.00312781,0.00308028,0.0031013,0.00311353,0.00312781,345.6,0.366667,0.5,7.33333,0.25191,7.33332,6881.98,0.00312063,0.00310392,357,0.0011381,-9.05665e-05,0,0,"koff_DT",99.9999999999998,"Pembro"
"62",0.5,0.25,7.33333,6887.92,0.0298776,0.0307978,0.0267357,0.0284065,0.0294667,0.0307978,3456,0.366667,0.5,7.33333,0.268296,7.33324,6882.48,0.0298909,0.0297348,357,0.0109028,-8.80817e-05,0,0,"koff_DT",999.999999999999,"Pembro"
"63",0.5,0.25,7.33333,6887.92,0.23518,0.307497,0.122169,0.167073,0.211921,0.307497,34560,0.366667,0.5,7.33333,0.393908,7.33275,6886.47,0.234752,0.233768,357,0.0857151,-6.92523e-05,0,0,"koff_DT",9999.99999999996,"Pembro"
"64",0.5,0.25,7.33333,6887.92,0.754571,3.07449,0.190165,0.326948,0.558059,3.07449,345600,0.366667,0.5,7.33333,0.713276,7.33272,6898.43,0.75273,0.751663,357,0.27561,-2.24106e-05,0,0,"koff_DT",99999.9999999998,"Pembro"
"65",0.5,0.25,7.33333,6887.92,0.968498,30.7444,0.201375,0.361551,0.667026,30.7444,3456000,0.366667,0.5,7.33333,0.846837,7.33323,6904.64,0.968091,0.96791,357,0.3549,-2.91088e-06,0,0,"koff_DT",1e+06,"Pembro"
"66",0.5,0.25,7.33333,6887.92,0.988252,84.12,0.202215,0.364269,0.676336,84.12,8.16e-06,0.366667,0.5,7.33333,0.859245,7.33329,6905.27,0.98806,0.987991,357,0.362263,-1.09006e-06,0,0,"kon_DT",1e-06,"Pembro"
"67",0.5,0.25,7.33333,6887.92,0.893753,8.412,0.197933,0.350605,0.630698,8.412,8.16e-05,0.366667,0.5,7.33333,0.799815,7.33301,6902.34,0.892357,0.891799,357,0.326993,-9.79077e-06,0,0,"kon_DT",1e-05,"Pembro"
"68",0.5,0.25,7.33333,6887.92,0.456876,0.8412,0.163342,0.254965,0.376585,0.8412,0.000816,0.366667,0.5,7.33333,0.529507,7.33252,6891.17,0.455186,0.453804,357,0.166395,-4.92114e-05,0,0,"kon_DT",1e-04,"Pembro"
"69",0.5,0.25,7.33333,6887.92,0.0775929,0.08412,0.0594491,0.0683943,0.0748815,0.08412,0.00816,0.366667,0.5,7.33333,0.297492,7.3331,6883.38,0.0775629,0.0771763,357,0.028298,-8.36563e-05,0,0,"kon_DT",0.001,"Pembro"
"70",0.5,0.25,7.33333,6887.92,0.00834183,0.008412,0.00807682,0.00822294,0.00830948,0.008412,0.0816,0.366667,0.5,7.33333,0.255109,7.33331,6882.08,0.0083479,0.00830339,357,0.00304458,-9.00618e-05,0,0,"kon_DT",0.01,"Pembro"
"71",0.5,0.25,7.33333,6887.92,0.000840493,0.0008412,0.000837724,0.000839271,0.000840164,0.0008412,0.816,0.366667,0.5,7.33333,0.250515,7.33333,6881.94,0.000841213,0.000836697,357,0.000306789,-9.07822e-05,0,0,"kon_DT",0.0999999999999999,"Pembro"
"72",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,8.16,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.08479e-05,0,0,"kon_DT",1,"Pembro"
"73",0.5,0.25,7.33333,6887.92,8.41193e-06,8.412e-06,8.41165e-06,8.41181e-06,8.4119e-06,8.412e-06,81.6,0.366667,0.5,7.33333,0.250005,7.33333,6881.92,8.41926e-06,8.37403e-06,357,3.07048e-06,-9.07798e-05,0,0,"kon_DT",9.99999999999998,"Pembro"
