"","TL0_keTL0_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","L0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","param.to.change1","fold.change.param1","param","drug"
"51",726,0.5,0.25,7.33333,6887.92,0.00031853,NA,NA,NA,NA,0,8.41139e-05,0.00424849,50000,1e+05,36666.7,0.5,7.33333,3.15056,7.3085,6869.4,7.94456e-05,357,2.913,-0.00143604,-3.9687e-16,50000,1e+05,"kon_TL","Pembro"
"52",7260,0.5,0.25,7.33333,6887.92,3.41584e-05,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e+05,1e+06,366667,0.5,7.33333,237388,81.2517,1458.31,0.64732,357,237351,-0.0324795,0,5e+05,1e+06,"kon_TL","Pembro"
"53",0.00726,0.5,0.25,7.33333,6887.92,0.00269524,NA,NA,NA,NA,0,5.33718e-05,0.00269574,3.456e-06,1e-06,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.31323e-05,357,1.94818e-05,-9.081e-05,0,3.456e-06,1e-06,"koff_DT","Pembro"
"54",0.00726,0.5,0.25,7.33333,6887.92,0.00269526,NA,NA,NA,NA,0,5.33721e-05,0.00269576,3.456e-05,1e-05,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.31326e-05,357,1.94819e-05,-9.10581e-05,0,3.456e-05,1e-05,"koff_DT","Pembro"
"55",0.00726,0.5,0.25,7.33333,6887.92,0.0026954,NA,NA,NA,NA,0,5.33749e-05,0.0026959,0.0003456,1e-04,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.31353e-05,357,1.9483e-05,-9.09727e-05,0,0.0003456,1e-04,"koff_DT","Pembro"
"56",0.00726,0.5,0.25,7.33333,6887.92,0.00269679,NA,NA,NA,NA,0,5.34025e-05,0.00269729,0.003456,0.001,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.31629e-05,357,1.94931e-05,-9.09777e-05,0,0.003456,0.001,"koff_DT","Pembro"
"57",0.00726,0.5,0.25,7.33333,6887.92,0.00271076,NA,NA,NA,NA,0,5.36792e-05,0.00271127,0.03456,0.01,0.366667,0.5,7.33333,0.250033,7.33333,6881.93,5.34383e-05,357,1.9594e-05,-9.08445e-05,0,0.03456,0.01,"koff_DT","Pembro"
"58",0.00726,0.5,0.25,7.33333,6887.92,0.00285046,NA,NA,NA,NA,0,5.6446e-05,0.00285101,0.3456,0.1,0.366667,0.5,7.33333,0.250035,7.33333,6881.93,5.61925e-05,357,2.06039e-05,-9.08597e-05,0,0.3456,0.1,"koff_DT","Pembro"
"59",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,3.456,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.37339e-05,357,3.07024e-05,-9.09047e-05,0,3.456,1,"koff_DT","Pembro"
"60",0.00726,0.5,0.25,7.33333,6887.92,0.0182004,NA,NA,NA,NA,0,0.000360793,0.0182232,34.56,10,0.366667,0.5,7.33333,0.250221,7.33333,6881.93,0.000359063,357,0.000131656,-9.08645e-05,0,34.56,10,"koff_DT","Pembro"
"61",0.00726,0.5,0.25,7.33333,6887.92,0.156276,NA,NA,NA,NA,0,0.00312759,0.15797,345.6,100,0.366667,0.5,7.33333,0.25191,7.33332,6881.98,0.00310392,357,0.0011381,-9.05588e-05,0,345.6,100,"koff_DT","Pembro"
"62",0.00726,0.5,0.25,7.33333,6887.92,1.40539,NA,NA,NA,NA,0,0.0307955,1.55544,3456,1000,0.366667,0.5,7.33333,0.268296,7.33324,6882.48,0.0297348,357,0.0109028,-8.81051e-05,0,3456,1000,"koff_DT","Pembro"
"63",0.00726,0.5,0.25,7.33333,6887.92,7.51705,NA,NA,NA,NA,0,0.307475,15.5302,34560,10000,0.366667,0.5,7.33333,0.393908,7.33275,6886.47,0.233768,357,0.0857151,-6.92497e-05,0,34560,10000,"koff_DT","Pembro"
"64",0.00726,0.5,0.25,7.33333,6887.92,13.3191,NA,NA,NA,NA,0,3.07427,155.277,345600,1e+05,0.366667,0.5,7.33333,0.713276,7.33272,6898.43,0.751663,357,0.27561,-2.24171e-05,0,345600,1e+05,"koff_DT","Pembro"
"65",0.00726,0.5,0.25,7.33333,6887.92,14.4333,NA,NA,NA,NA,0,30.7422,1552.75,3456000,1e+06,0.366667,0.5,7.33333,0.846837,7.33323,6904.64,0.96791,357,0.3549,-2.91088e-06,0,3456000,1e+06,"koff_DT","Pembro"
"66",0.00726,0.5,0.25,7.33333,6887.92,14.519,NA,NA,NA,NA,0,84.1139,4248.49,8.16e-06,1e-06,0.366667,0.5,7.33333,0.859245,7.33329,6905.27,0.987991,357,0.362263,-1.09006e-06,0,8.16e-06,1e-06,"kon_DT","Pembro"
"67",0.00726,0.5,0.25,7.33333,6887.92,14.0857,NA,NA,NA,NA,0,8.41139,424.849,8.16e-05,1e-05,0.366667,0.5,7.33333,0.799815,7.33301,6902.34,0.891799,357,0.326993,-9.79077e-06,0,8.16e-05,1e-05,"kon_DT","Pembro"
"68",0.00726,0.5,0.25,7.33333,6887.92,10.8486,NA,NA,NA,NA,0,0.841139,42.4849,0.000816,1e-04,0.366667,0.5,7.33333,0.529507,7.33252,6891.17,0.453804,357,0.166395,-4.92114e-05,0,0.000816,1e-04,"kon_DT","Pembro"
"69",0.00726,0.5,0.25,7.33333,6887.92,3.28928,NA,NA,NA,NA,0,0.0841139,4.24849,0.00816,0.001,0.366667,0.5,7.33333,0.297492,7.3331,6883.38,0.0771763,357,0.028298,-8.36563e-05,0,0.00816,0.001,"kon_DT","Pembro"
"70",0.00726,0.5,0.25,7.33333,6887.92,0.41281,NA,NA,NA,NA,0,0.00841139,0.424849,0.0816,0.01,0.366667,0.5,7.33333,0.255109,7.33331,6882.08,0.00830339,357,0.00304458,-9.00603e-05,0,0.0816,0.01,"kon_DT","Pembro"
"71",0.00726,0.5,0.25,7.33333,6887.92,0.0423613,NA,NA,NA,NA,0,0.000841139,0.0424849,0.816,0.1,0.366667,0.5,7.33333,0.250515,7.33333,6881.94,0.000836697,357,0.000306789,-9.07822e-05,0,0.816,0.1,"kon_DT","Pembro"
"72",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,8.16,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.37339e-05,357,3.07024e-05,-9.09116e-05,0,8.16,1,"kon_DT","Pembro"
"73",0.00726,0.5,0.25,7.33333,6887.92,0.000424836,NA,NA,NA,NA,0,8.41139e-06,0.000424849,81.6,10,0.366667,0.5,7.33333,0.250005,7.33333,6881.92,8.37403e-06,357,3.07048e-06,-9.08704e-05,0,81.6,10,"kon_DT","Pembro"
"74",0.00726,0.5,0.25,7.33333,6887.92,4.24847e-05,NA,NA,NA,NA,0,8.41139e-07,4.24849e-05,816,100,0.366667,0.5,7.33333,0.250001,7.33333,6881.92,8.37409e-07,357,3.0705e-07,-9.08542e-05,0,816,100,"kon_DT","Pembro"
"75",0.00726,0.5,0.25,7.33333,6887.92,4.24849e-06,NA,NA,NA,NA,0,8.41139e-08,4.24849e-06,8160,1000,0.366667,0.5,7.33333,0.25,7.33333,6881.92,8.3741e-08,357,3.0705e-08,-9.08479e-05,0,8160,1000,"kon_DT","Pembro"
